"Gene_symbol"	"ACC_Log2FC"	"BLCA_Log2FC"	"BRCA_Log2FC"	"HNSC_Log2FC"	"KIRC_Log2FC"	"LAML_Log2FC"	"LGG_Log2FC"	"LIHC_Log2FC"	"LUAD_Log2FC"	"LUSC_Log2FC"	"PAAD_Log2FC"	"SKCM_Log2FC"	"THCA_Log2FC"
"FAM222A-AS1"	-1.278	0.061	0.011	-0.086	-0.236	0.164	-0.085	-0.064	0.156	0.193	0.105	0.283	0.084
"FAM227A"	-0.505	0.312	0.155	0.091	-0.091	0.265	0.134	0.028	0.165	-0.333	0.221	-0.462	-1.064
"FAM227B"	-0.629	-1.099	0.099	-0.034	-0.455	-1.032	0.988	-0.088	-0.156	-0.072	0.342	0.008	0.029
"FAM228B"	-0.557	-0.874	-0.835	-0.063	0.249	2.808	0.063	0.487	-0.797	-1.134	0.83	-0.075	-0.457
"FAM229A"	-1.813	0.201	-1.638	0.443	0.166	0.152	-0.63	-1.235	-1.856	-2.257	-0.353	-2.247	-2.182
"FAM229B"	0.508	-1.105	0.029	-0.026	-0.374	-0.849	0.728	-0.301	-0.317	-0.295	1.934	1.174	0.204
"FAM32A"	0.634	0.214	0.389	0.447	0.189	0.411	0.606	0.486	-0.054	0.206	1.823	0.164	0.027
"FAM35A"	-0.907	-0.192	0.254	0.246	-0.394	0.284	1.349	0.156	-0.102	-0.346	0.992	-0.156	-0.915
"FAM45A"	-0.607	-0.101	0.237	0.127	-0.58	1.956	0.377	0.837	0.365	0.381	1.438	0.194	0.142
"FAM47E"	-0.708	-0.237	-0.443	-0.237	-0.896	-1.624	-0.564	0.449	-0.316	-1.285	-0.221	-0.343	0.119
"FAM47E-STBD1"	1.132	-0.898	-0.917	-0.245	1.008	0.236	-0.494	0.031	-0.769	-1.314	1.031	0.251	0.35
"FAM49A"	-1.309	-1.268	-1.422	0.485	1.393	0.677	-0.636	0.137	-1.568	-1.494	1.568	-0.666	0.037
"FAM53B"	-0.683	-0.662	0.314	0.195	0.57	1.793	0.471	0.658	-0.538	-0.03	1.281	0.581	0.098
"FAM58A"	0.927	0.58	0.342	0.823	-0.242	-0.985	-0.309	0.816	0.346	0.871	1.363	0.524	0.243
"FAM60A"	0.622	0.614	0.44	0.514	-0.619	-0.291	2.93	0.636	0.958	1.637	1.984	-0.064	0.562
"FAM63A"	-0.918	-0.496	0.655	-1.016	-0.814	1.884	1.577	0.513	-0.108	-0.946	-0.182	-0.173	-1.043
"FAM64A"	0.771	2.693	2.166	1.646	1	-2.625	2.045	0.497	1.81	2.986	1.811	2.592	0.386
"FAM65A"	-0.876	-0.584	-0.857	0.779	-0.304	1.837	-0.552	0.2	-2.14	-2.006	1.087	0.469	-1.464
"FAM65C"	-3.473	-0.901	-2.49	0.729	-0.663	-1.528	-0.763	-2.716	-2.602	-2.396	-0.855	-2.884	-3.351
"FAM71E1"	1.203	0.659	0.822	-0.06	-0.727	-0.097	-1.619	0.298	0.529	0.702	0.536	-0.535	0.755
"FAM71F2"	-0.918	-0.154	-0.778	0.096	0.028	1.067	-0.255	-0.309	-0.624	-0.681	-0.26	-0.739	-1.389
"FAM73B"	-0.662	-0.167	-0.694	-0.086	-0.539	0.317	-0.328	-0.431	-1.176	-1.317	0.798	-1.729	-1.349
"FAM76B"	-1.632	0.124	-1.081	0.663	0.561	0.07	0.933	-0.827	-1.073	-0.812	0.096	-1.14	-1.703
"FAM83D"	1.311	0.578	2.382	0.151	0.569	-3.057	-0.046	1.568	0.702	2.519	2.249	-0.005	-0.171
"FAM83G"	0.642	0.913	0.798	0.199	-1.021	-0.868	-0.16	0.114	0.579	1.349	1.073	-3.818	0.26
"FAM86B3P"	-0.665	-0.4	-0.526	-0.003	-0.021	0.349	-0.663	-0.995	-0.896	-1.04	-0.31	-0.598	-1.359
"FAM86C2P"	-0.525	-0.35	0.375	0.055	0.042	-0.393	0.917	0.136	0.567	0.507	0.736	-0.06	-0.1
"FAM86HP"	-0.642	-0.284	-0.189	0.313	-0.112	1.462	-0.522	-0.419	-0.173	-0.006	0.088	-0.363	-1.045
"FAM89A"	-0.824	0.205	-2.345	1.619	-0.798	-2.317	0.726	0.273	-0.745	-0.383	0.82	0.172	-0.061
"FAM92A1P1"	-0.581	-0.34	-0.313	0.319	-0.278	-0.145	-0.625	-0.096	-0.291	-0.113	-0.094	0.217	-0.248
"FAM95B1"	-1.128	-0.47	-0.912	-0.349	0.48	-1.299	-0.881	-0.763	-2.154	-2.001	-1.611	-1.136	-2.275
"FAM96B"	0.777	0.558	0	0.045	0.265	-1.559	0.794	0.781	0.161	0.091	2.123	1.057	0.408
"FAN1"	-0.961	-0.767	-0.194	0.294	-0.388	1.036	0.519	-0.155	-0.466	-0.025	-0.342	-0.813	-1.095
"FANCA"	1.12	1.989	1.233	1.503	1.318	0.183	-0.136	0.931	0.754	1.041	2.212	1.245	0.297
"FANCD2"	0.54	1.589	1.059	0.913	0.27	-1.376	1.002	1.206	0.565	1.261	1.475	0.827	0.274
"FANCI"	0.58	1.737	1.712	1.453	1.017	-1.175	0.851	1.382	1.01	2.396	1.887	1.549	0.464
"FANCL"	-0.819	0.723	0.211	0.586	0.624	-0.455	0.381	0	0.169	0.621	0.942	1.087	-0.277
"FANK1"	0.538	0.572	0.653	0	-0.145	0.216	-0.227	-0.045	0.526	-0.245	1.269	-1.455	0.199
"FAP"	0.8	1.372	1.315	2.828	1.316	0.014	-0.531	0.766	0.997	0.776	3.835	0.394	-0.559
"FAR1"	-0.608	-0.341	0.01	0.091	0.018	0.48	0.604	-0.087	-0.647	-0.133	0.862	0.366	-0.878
