"Gene_symbol"	"ACC_Log2FC"	"BLCA_Log2FC"	"BRCA_Log2FC"	"HNSC_Log2FC"	"KIRC_Log2FC"	"LAML_Log2FC"	"LGG_Log2FC"	"LIHC_Log2FC"	"LUAD_Log2FC"	"LUSC_Log2FC"	"PAAD_Log2FC"	"SKCM_Log2FC"	"THCA_Log2FC"
"RP11-343H5.4"	-0.744	-0.051	-0.533	-0.039	-0.06	2.011	-0.428	-0.151	-0.703	-0.815	-0.491	-1.198	-0.993
"RP11-345J4.5"	0.78	1.091	1.261	0.985	0.014	-0.502	1.033	1.576	1.087	1.617	2.314	1.382	0.377
"RP11-345K20.2"	-0.581	-0.079	-0.449	-0.019	0.108	1.836	-0.263	-0.033	-0.545	-0.601	-0.158	-0.593	-0.409
"RP11-345P4.6"	-0.846	0.121	-0.508	0.095	0.275	0.352	-0.031	-0.09	-0.684	-0.867	-0.251	-0.912	-1.264
"RP11-345P4.7"	-0.872	0.036	-0.559	0.109	0.226	1.082	0.09	-0.222	-0.716	-0.977	-0.217	-1.019	-1.358
"RP11-347C12.1"	-1.242	-0.039	-1.025	0.269	0.676	2.914	-1.048	-1.077	-1.579	-1.499	-0.318	-2.119	-2.511
"RP11-347I19.7"	-1.02	0.108	-0.618	0.075	0.112	0.748	-0.231	-0.266	-1.303	-1.403	-0.637	-1.405	-1.882
"RP11-347I19.8"	-0.874	0.159	-0.585	0.274	0.305	1.172	0.046	-0.308	-1.555	-1.473	-0.247	-1.378	-2.476
"RP11-34P13.13"	-1.482	-0.11	-0.594	0.24	0.095	-1.243	-0.485	-0.547	-1.327	-1.158	-0.468	-1.75	-1.476
"RP11-34P13.15"	-0.99	0.448	-0.716	0.753	0.784	-2.014	-0.645	-0.617	-1.561	-1.496	0.402	-1.979	-1.782
"RP11-34P13.16"	-2.073	0.125	-0.374	0.56	-0.069	-2.047	-0.396	-1.046	-1.788	-1.876	-0.158	-2.674	-2.401
"RP11-355B11.2"	-1.069	-0.586	-0.142	-0.071	-0.244	0.968	0.9	0.11	-0.223	-0.289	0.203	0.245	-0.488
"RP11-356B19.11"	-0.682	-0.047	-0.304	0.296	0.395	0.189	-0.535	-0.264	-0.397	-0.433	0.252	-0.461	-0.989
"RP11-357P18.2"	-0.581	-0.374	-0.388	0.026	-0.012	0.079	-0.276	-0.111	-1.191	-1.856	0.697	-1.05	0.21
"RP11-359B12.2"	-0.661	-1.12	-0.47	-0.012	-0.163	0.851	0.718	0.108	-0.29	-0.108	0.186	0.437	-0.197
"RP11-359I18.5"	-0.55	-0.017	0.045	-0.222	-0.662	-0.124	0.253	-0.201	0.263	-0.061	0.202	0.132	-0.179
"RP11-359K18.4"	-1.084	-0.541	-0.535	0.041	0.146	-0.51	0.013	-0.472	-0.508	-0.593	-0.615	-0.819	-0.79
"RP11-35G9.3"	-0.578	-0.293	-0.011	-0.004	0.153	2.942	0.534	0.233	-0.12	-0.318	0.306	0.676	-0.579
"RP11-360L9.7"	0.946	1.454	0.862	0.938	0.299	0.663	0.286	0.624	0.712	1.203	0.708	0.974	0.227
"RP11-361L15.5"	-1.138	0	-0.459	0.068	0.972	0.336	-2.443	-0.648	-0.648	-0.76	-0.433	-2.302	-1.499
"RP11-362F19.1"	-0.66	-0.143	-0.365	0.007	-2.01	-4.707	0.027	-0.951	-0.92	-1.031	-0.117	0.065	-2.115
"RP11-365N19.2"	-0.768	-0.182	-0.566	0.159	0.194	0.613	-0.778	-0.95	-1.047	-1.074	0.073	-0.982	-1.271
"RP11-369J21.12"	0.724	0.88	0.73	0.561	0.832	1.101	1.038	1.038	0.404	0.962	1.155	-0.353	0.528
"RP11-36C20.1"	-0.675	-0.409	-0.852	-0.033	0.223	-1.612	0.349	0.043	-0.391	-0.39	-0.407	-1.138	-0.424
"RP11-378A13.2"	-1.421	0.161	-0.767	0.274	0.205	-0.661	-0.156	-0.432	-1.288	-1.46	0.077	-0.853	-1.539
"RP11-378J18.9"	-1.743	-0.502	-0.535	0.142	0.165	0.957	0.407	-0.617	-0.702	-0.89	-0.433	-1.286	-1.755
"RP11-379B18.5"	-0.939	-0.313	-0.393	0.745	0.317	1.116	-0.35	-0.082	-1.083	-0.949	0.428	-1.113	-1.604
"RP11-379F4.4"	-0.761	-0.568	-0.908	0.267	-0.129	0.306	-2.475	0.041	-0.814	-0.415	0.608	-0.341	-0.411
"RP11-37B2.1"	-0.6	0.13	-0.371	0.558	0.41	0.33	0.943	-0.2	-0.6	-0.835	0.337	-0.455	-1.026
"RP11-384K6.6"	-0.814	-0.421	-0.9	0.234	0.239	1.655	0.103	-0.861	-0.959	-1.126	-0.224	-1.19	-1.544
"RP11-384M20.1"	-0.654	-0.036	-0.315	0.088	0.113	1.76	-0.045	-0.282	-0.6	-0.665	-0.171	-0.733	-0.945
"RP11-384O8.1"	-0.789	-0.174	-0.038	0.152	-0.426	0.057	-2.057	-0.014	0.08	0.605	0.211	0.209	-1.013
"RP11-385F5.4"	-0.715	-0.057	-0.409	0.269	0.213	1.56	0.131	-0.169	-0.829	-0.972	-0.037	-0.877	-0.884
"RP11-385F7.1"	0.658	1.066	0.496	0.056	-0.914	-2.208	0.076	0.391	0.814	0.116	0.883	-0.249	0.048
"RP11-386G11.10"	2.854	2.074	2.096	1.144	2.127	-1.732	-2.05	1.094	1.384	2.059	3.406	2.155	1.445
"RP11-386I14.4"	-0.915	-1.298	-2.11	0.125	0.657	2.875	0.745	-0.482	-1.443	-1.56	0.242	-1.383	-1.187
"RP11-388C12.8"	-1.072	0.032	-0.46	0.039	-0.171	-0.504	-0.771	-0.648	-0.396	-0.809	-0.536	-0.531	-1.241
"RP11-390K5.6"	-0.958	0.069	-0.651	0.019	0.214	1.981	-0.073	-0.535	-0.922	-1.06	-0.275	-1.625	-1.162
"RP11-390P2.4"	-0.985	0.688	-0.695	0.52	0.125	1.485	0.808	-0.812	-0.919	0.06	0.649	0.251	-1.042
"RP11-390P24.1"	-0.745	0.143	-0.395	0.371	0.313	1.944	0.002	-0.19	-0.68	-1.251	0.808	-1.979	-0.845
"RP11-394O4.5"	-2.064	-4.427	-3.922	0.44	0.647	-0.359	-1.656	-1.172	-2.899	-3.124	0.774	-3.078	-3.067
"RP11-395B7.4"	1.075	-0.479	0.178	0.937	1.016	-0.332	-1.993	0.239	-0.361	-0.244	2.82	-0.045	-0.067
"RP11-399O19.9"	-0.555	-0.337	-0.296	-0.018	0.583	0.903	-0.128	0.033	-0.805	-1.046	0.754	-0.381	0.22
"RP11-3D4.3"	-0.724	0.006	-0.512	0.129	0.044	1.104	-0.399	-0.317	-0.465	-0.434	-0.277	-0.736	-0.665
"RP11-400F19.18"	-0.658	-0.19	-0.725	0.06	0.286	0.674	-0.03	-0.103	-0.768	-1.003	0.043	-1.127	-0.902
"RP11-408A13.4"	-0.786	-0.374	-0.762	0.061	0.173	1.939	-1	-0.219	-0.962	-1.449	0.018	-1.09	-1.175
"RP11-408P14.1"	0.542	0.036	-0.054	-0.005	0.412	-0.237	1.383	0.882	0.563	0.506	0.678	0.047	0.345
"RP11-40C6.2"	8.955	-0.049	5.642	-0.073	0.6	7.021	9.183	8.611	8.216	7.977	9.258	7.853	8.427
"RP11-410L14.2"	-0.809	-0.72	-0.782	0.187	-1.223	-1.874	0.71	0.736	-0.736	-0.428	0.5	-0.196	-0.148
"RP11-411B6.6"	-0.991	-0.148	-1.04	0.087	0.185	2.373	0.558	-0.15	-1.147	-1.521	0.136	-1.092	-1.532
"RP11-415J8.3"	-2.548	-0.025	-1.49	0.598	0.948	2.166	-0.089	-1.464	-1.748	-2.436	0.05	-1.017	-2.485
"RP11-417N10.4"	0.535	0.821	0.079	0.469	0.36	-0.057	0.164	0.613	0.042	-0.262	1.143	-0.805	-0.219
"RP11-418J17.1"	-1.648	0.102	-0.606	0.406	-0.23	0.395	0.615	-0.506	-0.614	-0.764	0.475	-0.436	-1.404
"RP11-419C5.2"	-1.525	0.153	-1.526	0.499	0.782	0.61	-0.528	-1.813	-1.588	-2.174	-0.619	-2.569	-2.378
"RP11-420A23.1"	-1.048	0.039	-0.659	-0.117	0.603	0.679	0.137	-0.201	-1.051	-1.48	-0.156	-1.597	-1.191
"RP11-420L9.5"	-0.538	-0.195	-0.666	0.474	0.986	0.014	1.137	0.288	-0.494	-0.811	1.314	0.368	-0.558
"RP11-421L21.3"	-0.976	0.228	-0.252	0.318	0.165	0.756	0.867	-0.387	-0.456	-0.615	0.144	0.355	-0.448
"RP11-421N8.1"	-0.601	-0.259	-0.205	-0.09	-0.299	-1.07	-0.202	-0.092	-0.346	-0.254	-0.113	-0.322	-0.404
"RP11-423H2.1"	1.47	0.977	0.978	0.65	0.272	-0.91	-0.151	0.893	0.858	1.894	1.664	-0.065	0.113
"RP11-427L15.2"	-0.673	-0.172	-1.119	0.083	0.183	1.482	0.221	-0.066	-1.162	-1.333	-0.052	-1.481	-0.794
"RP11-428J1.5"	-0.851	-0.319	0.062	0.326	0.048	1.675	0.604	0.408	0.363	0.916	0.607	0.78	-0.245
"RP11-434B12.1"	-1.083	-0.866	-0.878	-0.061	-0.148	1.042	-2.353	-0.371	-1.293	-1.352	-0.076	-1.087	-1.017
"RP11-439E19.10"	-0.634	-0.272	-0.072	0.007	-0.153	2.281	0.375	0.05	-0.115	-0.204	0.16	-0.057	-0.275
"RP11-43F13.1"	-0.599	-0.554	-0.025	0.254	0.132	-2.622	0.413	0.195	0.362	0.298	0.263	0.083	-1.016
"RP11-43N16.4"	-0.621	-0.236	-0.994	0.363	0.59	0.941	-0.675	-1.318	-1.893	-1.983	-0.398	-2.572	-2.063
"RP11-440L14.1"	-0.963	-0.313	-0.125	0.389	-0.127	0.251	0.54	-0.009	-0.415	-0.589	0.044	-0.249	-1.382
"RP11-440L14.4"	-0.526	-0.085	-0.318	-0.032	0.091	2.084	0.275	-0.103	-0.342	-0.595	-0.373	-0.772	-1.282
"RP11-449J21.3"	-1.902	-0.035	-0.488	0.212	0.319	3.007	-0.136	-0.829	-0.388	-0.77	-0.981	-1.18	-2.537
"RP11-449P15.1"	0.624	0.04	-0.03	0.021	0.651	0.151	0.31	-0.539	0.536	0.233	0.526	0.057	0.47
"RP11-449P15.2"	-1.189	0.141	-0.49	0.122	0.203	1.043	-0.254	-0.651	-0.488	-0.81	0.264	-1.389	-1.397
"RP11-452I5.2"	-1.611	1.111	1.492	-0.055	0.484	0.524	0.525	1.16	0.816	1.596	1.161	-0.101	0.055
"RP11-452N17.1"	2.804	0.437	0.97	0.536	1.207	2.024	2.784	2.47	2.155	1.063	2.938	2.025	1.866
"RP11-455F5.5"	-0.774	-0.135	-0.159	0.115	0.425	2.575	-0.932	-0.098	-0.961	-1.424	0.462	-1.027	0.192
"RP11-457M11.5"	-0.638	-0.143	-0.39	0.076	0.58	1.238	-0.496	-0.283	-0.658	-0.815	-0.502	-1.175	-1.565
"RP11-458F8.4"	-0.954	0.138	-0.597	0.316	0.589	-0.103	0.386	-1.029	-0.632	-0.7	-0.576	-1.377	-1.937
"RP11-45A17.2"	-0.513	0.077	-0.741	0.415	0.208	1.342	-0.555	-0.628	-1.035	-1.178	-1.668	-1.418	-0.788
"RP11-45M22.2"	-1.567	-0.148	-0.875	0.197	-0.02	1.69	-0.677	-0.491	-0.951	-1.55	-0.514	-1.145	-1.614
"RP11-463I20.1"	1.163	0.43	0.46	0.305	0.411	-0.881	0.006	0.183	0.023	0.376	1.432	-1.171	1.069
"RP11-464D20.2"	1.721	-0.331	0.305	-0.039	0.256	0.71	2.167	1.419	1.784	1.574	1.725	1.914	1.54
"RP11-465L10.10"	1.267	0.109	0.173	0.305	0.11	-0.41	0.005	0.122	0.024	0.128	0.2	0.352	0.082
"RP11-465N4.4"	-0.53	0.844	0.892	-0.444	-0.023	0.768	-0.142	1.134	1.187	1.048	1.639	-1.062	-0.672
"RP11-465N4.5"	-1.13	0.475	-0.17	0.185	0.411	0.3	0.225	0	-0.536	-0.889	0.236	-2.055	-1.622
"RP11-466H18.1"	0.905	0.117	0.032	0.339	1.124	-1.785	1.192	0.916	0.521	0.659	0.327	-0.643	0.281
"RP11-467L13.7"	0.505	-0.045	0.122	0.424	0.082	-1.241	0.266	0.169	-0.032	0.275	0.962	-0.424	0.011
"RP11-468E2.11"	-0.891	-0.384	-0.595	0.247	0.228	1.232	-0.12	-0.402	-0.945	-1.229	0.015	-1.511	-1.339
"RP11-468E2.5"	-0.965	-0.031	-0.464	0.172	0.316	0.828	-0.282	-0.596	-0.877	-1.107	-0.329	-0.765	-1.142
"RP11-471B22.2"	-0.791	-0.607	-0.801	0.322	0.199	1.565	-0.503	-0.411	-1.378	-1.434	-0.391	-1.454	-1.175
"RP11-473M20.9"	-1.214	-0.239	-1.915	0.162	0.271	3.412	0.174	-0.214	-2.894	-3.16	0.413	-1.342	-1.846
"RP11-474D14.2"	-0.632	0.033	-0.319	0.07	0.114	1.997	-0.339	-0.311	-0.371	-0.461	-0.057	-0.474	-0.444
"RP11-475I24.3"	-0.761	-0.044	-0.287	0.019	0.091	0.193	0.261	-0.12	-0.389	-0.269	-0.277	-1.219	-0.415
"RP11-475I24.9"	-0.841	-0.145	-0.637	-0.025	0.164	0.293	0.878	-0.116	-0.485	-0.16	-0.502	-1.629	-0.558
"RP11-477D19.2"	-0.855	-0.229	-0.149	0.024	-0.103	0.598	-0.185	-0.136	-0.222	-0.112	-0.01	-0.101	-0.87
"RP11-478C19.2"	-0.827	-0.021	-0.457	0.177	0.191	1.403	-0.139	-0.274	-0.52	-0.32	-0.454	-1.127	-1.331
"RP11-47A8.5"	-0.782	-0.271	-0.229	-0.111	-1.032	1.024	0.086	0.116	-0.375	-0.96	0.555	-1.168	-0.402
"RP11-480A16.1"	-0.795	0.333	-0.292	0.261	0.619	-1.118	-0.067	-0.261	-0.397	0.105	0.142	-0.811	-1.582
"RP11-481J2.4"	-1.015	-0.282	-0.771	0.13	-0.267	1.071	-0.109	-0.291	-0.833	-1.115	-0.512	-1.011	-1.505
"RP11-488C13.7"	-0.544	0.062	0.005	0.629	1.179	0.512	0.33	0.087	-0.844	-1.235	0.71	0.562	-0.22
"RP11-488L18.10"	-0.539	0.528	-0.823	0.553	0.674	1.02	-0.004	-0.099	-1.413	-1.887	0.148	-0.721	-1.208
"RP11-488L18.4"	-1.958	0.487	-0.879	0.709	0.769	1.285	0.474	-0.476	-1.636	-2.096	-0.155	-0.703	-1.972
"RP11-48B14.1"	-0.713	-0.332	-0.289	0.215	0.186	1.791	0.226	-0.056	-0.283	-0.368	0.076	-0.386	-0.577
"RP11-490B18.6"	-0.8	-0.069	-0.685	0.175	0.232	0.364	-0.089	-0.304	-1.115	-1.173	-0.114	-1.802	-1.479
"RP11-490G8.1"	0.854	-0.216	0.345	-0.199	0.185	0.277	0.848	0.536	0.779	0.593	0.645	0.804	0.737
"RP11-490H24.5"	-0.906	-0.411	0.277	0.335	0.46	-1.201	0.141	-0.015	-0.219	0.754	0.45	-0.063	-0.378
"RP11-493E12.2"	-0.507	-0.106	-0.263	0.055	0.12	2.789	0.027	-0.087	-0.394	-0.464	-0.171	-0.509	-0.631
"RP11-496H1.1"	-1.204	0.638	-0.193	0.307	-0.032	-0.766	-0.071	-0.222	-0.085	0.314	0.172	-1.051	-1.773
"RP11-497H16.7"	-0.596	-0.272	0.439	0.311	1.076	4.358	0.75	0.025	-0.396	-0.651	0.671	0.389	-0.257
"RP11-498C9.2"	1.755	1.127	1.078	0.266	1.037	0.402	0.243	-0.469	0.939	1.193	-0.962	-0.255	0.483
"RP11-498C9.3"	3.718	3.182	0.728	0.252	0.428	1.227	-0.306	-0.102	0.723	0.576	0.213	0.489	2.17
"RP11-499E18.1"	0.814	-0.333	-0.366	0.556	0.385	-1.662	0.358	0.421	-0.511	-0.789	0.973	0.051	-0.554
"RP11-499P20.2"	-1.129	-0.743	-0.656	0.105	0.481	0.337	-0.094	-1.499	-0.972	-1.317	-1.211	-1.921	-1.84
"RP11-49I11.1"	-0.544	0.568	-0.054	0.451	0.264	-1.729	0.13	0.594	0.465	0.551	1.703	1.837	0.563
"RP11-49K24.3"	-0.826	-0.006	-0.722	0.084	0.122	0.66	0.012	-0.183	-0.597	-0.664	-0.469	-1.339	-1.14
"RP11-4O1.2"	-0.581	0.274	-0.008	0.222	-0.649	0.703	-0.269	0.215	-0.298	-0.74	0.905	-0.02	0.222
"RP11-500C12.1"	0.811	0.596	0.035	0.926	0.398	-0.09	-0.156	0.226	-0.499	-0.616	1.432	0.47	-0.375
"RP11-504P24.3"	-1.271	-0.427	-1.027	0.165	-0.083	-0.757	-0.327	-0.273	-0.776	-1.249	0.324	-1.726	-1.401
"RP11-504P24.8"	-1.106	0.432	-0.386	0.518	0.571	0.312	-0.176	-0.918	-0.372	-0.563	-0.38	-1.191	-2.087
"RP11-505K9.1"	0.616	0.487	0.005	0.015	-0.566	-1.096	0.606	0.146	0.005	0.063	0.701	0.333	-0.345
"RP11-505K9.4"	-0.544	-0.752	-0.425	-0.373	0.186	0.73	0.728	-0.435	-0.19	-0.333	0.021	0.335	-0.386
"RP11-506M12.1"	-0.664	0.046	-0.156	0.107	0.061	-0.248	-0.266	-0.093	-0.318	-0.356	-0.222	-0.334	-1.19
"RP11-514P8.8"	-0.592	0.237	-0.057	-0.053	0.179	0.767	0.478	0.154	-0.555	-0.383	0.209	-0.493	-0.668
"RP11-517I3.2"	-1.373	-0.404	-1.518	-0.079	0.167	0.153	1.223	-0.595	-0.94	-1.399	0.514	-0.939	-0.781
"RP11-517P14.2"	-0.697	-0.692	-0.036	0.026	-0.419	0.538	0.095	0.064	0.026	-0.177	0.623	0.726	-0.135
"RP11-51J9.5"	0.875	0.002	-0.502	0.144	-0.073	-0.739	1.004	0.182	-0.448	-0.399	0.562	0.15	-0.451
"RP11-521B24.5"	-0.807	1.212	0.751	0.059	0.666	0.507	0.565	0.146	-0.284	-2.046	1.19	-1.692	-0.874
"RP11-522B15.3"	-0.572	-0.267	-0.526	-0.055	-0.162	-0.39	-0.027	-0.138	-0.737	-0.807	0.334	-0.325	-0.585
"RP11-524D16__A.3"	-1.377	-0.693	-1.33	0.323	-0.515	0.124	0.317	-0.251	-1.481	-1.7	1.437	-1.026	-1.293
"RP11-524F11.1"	-0.746	-0.034	-1.52	0.121	0.127	0.589	-0.126	-1.427	-1.06	-1.02	-0.407	-1.583	-1.409
"RP11-526I2.5"	-0.531	-0.1	-0.45	0.123	0.151	1.404	0.035	-0.288	-0.99	-0.878	-0.297	-1.239	-1.468
"RP11-527J8.1"	-0.603	-0.093	-0.524	0.3	0.26	1.93	-0.071	-0.348	-0.908	-0.83	-0.084	-1.037	-1.213
"RP11-536C12.1"	-0.669	-0.142	-0.428	0.014	0.053	0.617	-0.322	-0.041	-0.351	-0.415	-0.037	-0.737	-0.576
"RP11-536K7.3"	-0.708	-0.578	-0.647	0.4	1.095	0.869	0.704	0.16	-1.781	-2.032	0.803	-1.207	-1.121
"RP11-53O19.3"	0.683	-0.3	0.599	0.193	0.336	-0.765	-0.513	0.19	-0.164	-0.371	0.751	-0.229	-0.404
"RP11-540B6.6"	-1.225	-0.231	-1.016	0.342	0.1	1.552	-0.244	-0.79	-1.373	-1.143	-0.707	-1.48	-1.899
"RP11-541N10.3"	-0.587	-0.856	-0.529	-0.252	-0.468	2.29	-0.023	0.032	-1.087	-1.699	0.684	-0.782	-0.184
"RP11-543P15.1"	1.145	-0.571	-0.187	0.087	0.27	-0.925	1.331	0.861	0.393	0.261	0.266	-0.377	-0.021
"RP11-544M22.13"	-0.921	-0.214	1.604	0.75	-1.071	-1.071	0.151	0.115	1.887	3.578	0.705	0.697	0.643
"RP11-545P7.9"	-0.524	0.156	-0.095	0.02	-0.197	0.618	-0.084	-0.171	-0.145	-0.296	-0.058	-0.191	-0.795
"RP11-548P2.2"	-0.639	-0.218	-0.37	0.048	-0.062	0.031	0.417	-0.018	-0.128	-0.698	0.123	0.373	-0.352
"RP11-549B18.1"	-0.731	0.125	-0.094	-0.318	-0.471	2.377	0.09	0.167	0.297	0.828	0.465	2.357	0.499
"RP11-54O7.3"	-1.307	-0.827	0.055	-0.174	-0.596	0.839	1.4	-0.626	-0.545	-0.907	0.686	-0.62	-0.41
"RP11-552M11.4"	-1.681	0.489	-0.587	0.206	-0.217	0.777	-0.021	-0.387	-1.085	-1.098	-0.248	-0.821	-1.336
"RP11-553L6.5"	-0.952	-1.987	-1.301	-0.242	0.052	2.548	2.337	-0.154	-1.053	-2.259	0.457	-1.079	-0.709
"RP11-557H15.4"	-0.573	-0.224	-0.159	0.203	-0.317	-0.604	0.102	-0.36	-0.545	-0.602	0.58	0.872	0.14
"RP11-561B11.2"	-0.662	0.124	-0.162	0.234	0.045	1.073	-0.264	-0.142	-0.571	-0.56	0.186	-0.436	-0.847
"RP11-561C5.4"	-0.654	-0.14	-0.161	-0.049	-0.047	-0.825	-0.24	-0.034	-0.711	-0.711	-0.798	-1.198	-0.861
"RP11-566K19.6"	-1.998	-0.568	-0.263	-0.069	-0.538	0.462	-2.612	0.014	-0.565	-0.809	0.283	0.418	-0.908
"RP11-568K15.1"	-1.243	-0.655	-0.948	-0.463	0.154	3.187	-0.813	0.212	-0.246	-0.656	1.358	0.098	-0.967
"RP11-574F21.2"	-0.585	0.066	-0.122	0.072	0.042	0.495	0.114	0.288	-0.365	-0.441	-0.124	-0.359	-0.34
"RP11-574K11.24"	-1.492	0.223	-1.755	0.589	0.694	-0.543	0.392	-0.414	-1.793	-1.797	-0.778	-2.247	-1.996
"RP11-574K11.29"	-1.127	-0.171	-0.653	0.171	0.343	0.982	0.292	-0.401	-0.664	-0.922	-0.807	-1.426	-1.191
"RP11-574K11.31"	-0.839	-0.193	-0.67	0.1	0.067	1.522	-0.078	-0.234	-1.19	-1.238	-0.037	-1.061	-1.278
"RP11-575L7.8"	-2.268	-0.044	-1.066	0.467	0.516	2.613	0.226	-1.289	-1.304	-1.333	-0.976	-1.511	-2.405
"RP11-57H12.5"	-0.907	-0.151	-0.32	0.08	0.171	-0.203	-0.109	-0.303	-0.294	-0.386	-0.55	-0.449	-0.756
"RP11-57H14.4"	-0.867	-0.979	-0.787	-0.129	-0.841	1.2	-0.214	-0.129	-0.852	-0.933	0.071	-0.628	-0.622
"RP11-580I16.2"	-0.55	-0.039	-0.401	0.213	-0.241	1.317	0.753	0.508	-0.039	-0.099	0.263	0.007	-0.502
"RP11-582J16.5"	-1.426	-0.341	-1.097	0.123	-0.047	1.71	0.271	-0.566	-1.248	-1.36	-0.076	-0.306	-1.587
"RP11-597D13.7"	-1.733	-0.164	-0.543	0.014	0.155	0.597	-1.209	-0.014	-0.229	-0.379	-0.072	-0.207	-0.742
"RP11-597D13.9"	-1.116	-0.777	-0.124	0.173	0.263	1.564	-0.603	0.013	-0.32	-0.546	0.259	-0.202	-0.559
"RP11-598P20.3"	-0.635	0.285	1.088	0.47	0.4	2.08	1.41	0.061	0.534	0.958	0.708	0.751	0.256
"RP11-59C5.3"	-0.866	-0.334	-0.725	0.013	0.265	1.864	0.365	-0.126	-1.045	-1.186	-0.273	-0.75	-1.719
"RP11-5A19.5"	-2.044	0.045	-1.304	0.285	1.13	-0.345	-1.122	-0.963	-1.208	-1.406	-1.826	-2.216	-2.589
"RP11-600F24.7"	-0.697	-0.165	-0.623	0.097	-0.209	-0.204	0.193	-0.006	-0.663	-0.652	0.17	-1.293	-1.788
"RP11-603J24.17"	0.657	0.263	0.032	0.37	0.216	-1.385	0.619	0.749	-0.194	-0.217	1.172	-0.367	0.012
"RP11-613M10.6"	-0.815	-0.312	-0.106	0.029	0.289	-0.211	1.152	-0.327	-0.419	-0.108	-0.191	0.493	-0.25
"RP11-618K13.2"	0.814	0.504	0.044	0.069	-0.018	0.124	0.104	0.083	0.087	-0.325	-0.497	-0.183	-0.337
"RP11-61I13.3"	-1.334	0	-2.411	0.287	0.596	0.057	0.384	-0.972	-2.13	-2.265	-0.6	-1.52	-2.355
"RP11-61L19.3"	0.502	0.449	-0.027	0.089	-0.213	-0.722	0.306	0.333	0.14	0.276	0.802	-0.642	-0.059
"RP11-61L23.2"	-0.892	0.189	-0.514	0.169	1.644	-1.783	0.181	0.054	-1.002	-0.328	1.516	-1.248	-0.759
"RP11-61N20.3"	0.756	-0.08	0.791	0.003	-1.463	-0.868	1.716	1.516	1.158	1.845	1.56	2.037	0.126
"RP11-620J15.3"	1.417	-0.616	-0.08	0.437	0.117	-0.316	0.578	1.565	0.025	0.092	1.116	1.526	-0.313
"RP11-624G17.3"	0.666	0.303	1.019	0.208	0.129	0.061	-0.658	0.778	1.975	0.367	0.941	0.429	-0.198
"RP11-626G11.3"	0.892	0.845	0.521	0.881	0.866	1.558	0.801	0.443	-0.219	-0.508	2.119	0.1	0.3
"RP11-627K11.1"	0.559	0.287	0.238	-0.037	0.236	0.555	0.604	0.314	0.457	0.485	0.504	0.427	0.428
"RP11-627K11.6"	1.039	1.313	0.232	0.364	-0.017	0.902	0.373	0.263	0.324	0.455	0.936	-0.091	0.247
"RP11-632C17__A.1"	-1.412	-0.528	-1.012	-0.544	-0.011	-1.672	0.413	0.295	-0.701	-1.214	-0.516	-1.348	-0.796
"RP11-632K20.7"	-1.209	-0.591	-1.907	0.289	0.78	1.437	-0.545	-1.346	-1.969	-1.972	-0.523	-1.947	-2.044
"RP11-635N19.1"	-0.741	-0.326	-0.391	-0.284	-0.518	0.806	0.187	-0.159	-0.259	-0.373	0.095	-0.255	-0.137
"RP11-638I2.6"	0.755	1.078	0.781	0.204	-1.043	-0.982	-0.191	0.653	0.154	-0.468	2.721	-0.043	-0.2
"RP11-638I8.1"	0.643	0.38	-0.027	0.372	0.415	0.097	0.747	0.019	0.318	0.04	0.371	-0.651	-0.638
"RP11-63M22.2"	1.832	1.558	-1.539	0.575	0.978	1.615	-0.911	-0.15	-1.227	-2.278	0.94	-2.12	-1.117
"RP11-641D5.1"	1.243	0.429	0.701	0.036	0.838	-1.675	2.707	1.52	1.401	1.371	2.275	1.2	1.391
"RP11-644F5.10"	-0.806	-0.666	-1.756	0.199	0.794	1.409	0.366	-0.913	-0.966	-1.092	0.397	-1.005	-0.943
"RP11-649E7.5"	3.025	0.468	2.469	0.446	0.509	3.897	1.165	0.769	2.423	2.429	2.231	1.856	2.037
"RP11-64B16.2"	0.583	-2.441	-0.231	-1.414	1.639	-0.457	0.847	0.183	-1.533	-1.424	0.34	-1.277	-0.605
"RP11-658F2.8"	-0.951	-0.272	-0.538	0.426	0.44	1.212	0.354	-0.495	-0.786	-0.957	0.455	-1.99	-1.186
"RP11-65I12.1"	-1.958	0.29	-0.728	0.199	-0.378	-0.654	-0.076	-0.457	-1.541	-1.293	0.41	-1.992	-3.284
"RP11-65J21.3"	-0.547	-0.122	-0.682	0.546	-0.149	-0.345	-0.771	0.094	0.084	0.331	-0.21	-1.786	-0.589
"RP11-660L16.2"	-0.729	0.383	-0.191	0.882	0.322	-2.064	0.555	0.056	-0.231	-0.077	0.095	-0.464	-0.256
"RP11-667K14.3"	-0.545	-0.255	-0.301	0.024	-0.04	0.415	0.053	-0.026	-0.453	-0.442	0.238	-0.198	-0.281
"RP11-66B24.4"	-0.719	-0.622	-1.103	0.025	0.554	1.352	-1.899	-0.107	-0.371	-0.101	0.058	0.055	0.196
"RP11-66N11.8"	0.527	0.496	0.113	0.305	-0.497	-0.891	0.591	0.687	-0.006	0.428	0.577	-0.081	0.073
"RP11-66N24.3"	-2.001	0.103	-1.251	0.391	0.65	2.937	-0.708	-1.504	-1.859	-1.944	-0.689	-1.661	-2.955
"RP11-66N24.4"	-1.485	0.126	-0.843	0.389	0.503	2.378	-0.629	-0.889	-1.496	-1.645	-0.447	-1.23	-2.365
